代码,名称,日期,开盘价(元),最高价(元),最低价(元),收盘价(元),成交额(百万),成交量(股)
000001.SH,上证指数,1990/12/19,96.05,100,95.79,100,126000,0.49
000001.SH,上证指数,1990/12/20,104.3,104.39,99.98,104.39,19700,0.08
000001.SH,上证指数,1990/12/21,109.07,109.13,103.73,109.13,2800,0.02
000001.SH,上证指数,1990/12/24,113.57,114.55,109.13,114.55,3200,0.03
000001.SH,上证指数,1990/12/25,120.09,120.25,114.55,120.25,1500,0.01
000001.SH,上证指数,1990/12/26,125.27,125.27,120.25,125.27,10000,0.05
000001.SH,上证指数,1990/12/27,125.27,125.28,125.27,125.28,6600,0.1
000001.SH,上证指数,1990/12/28,126.39,126.45,125.28,126.45,10800,0.09
000001.SH,上证指数,1990/12/31,126.56,127.61,126.48,127.61,7800,0.06
000001.SH,上证指数,1991/1/2,127.61,128.84,127.61,128.84,9100,0.06
000001.SH,上证指数,1991/1/3,128.84,130.14,128.84,130.14,14100,0.09
000001.SH,上证指数,1991/1/4,131.27,131.44,130.14,131.44,42000,0.26
000001.SH,上证指数,1991/1/7,131.99,132.06,131.45,132.06,21700,0.14
000001.SH,上证指数,1991/1/8,132.62,132.68,132.06,132.68,292600,1.81
000001.SH,上证指数,1991/1/9,133.3,133.34,132.68,133.34,560300,3.23
000001.SH,上证指数,1991/1/10,133.93,133.97,133.34,133.97,999000,5.4
000001.SH,上证指数,1991/1/11,134.61,134.61,134.51,134.6,1332700,7.12
000001.SH,上证指数,1991/1/14,134.11,135.19,134.11,134.67,1253000,6.88
000001.SH,上证指数,1991/1/15,134.21,134.74,134.19,134.74,144600,1.01
000001.SH,上证指数,1991/1/16,134.19,134.74,134.14,134.24,50900,0.27
000001.SH,上证指数,1991/1/17,133.67,134.25,133.65,134.25,65800,0.33
000001.SH,上证指数,1991/1/18,133.7,134.25,133.67,134.24,300400,1.57
000001.SH,上证指数,1991/1/21,133.7,134.24,133.66,134.24,205100,1.03
000001.SH,上证指数,1991/1/22,133.72,134.24,133.66,133.72,35400,0.18
000001.SH,上证指数,1991/1/23,133.17,133.72,133.14,133.17,109500,0.58
000001.SH,上证指数,1991/1/24,132.61,133.17,132.57,132.61,185700,0.92
000001.SH,上证指数,1991/1/25,132.05,132.07,132.03,132.05,344700,1.72
000001.SH,上证指数,1991/1/28,131.46,131.55,131.46,131.46,510700,2.57
000001.SH,上证指数,1991/1/29,130.95,130.97,130.95,130.95,138700,0.71
000001.SH,上证指数,1991/1/30,130.44,130.95,130.41,130.44,52700,0.26
000001.SH,上证指数,1991/1/31,129.93,130.46,129.93,129.97,51000,0.24
000001.SH,上证指数,1991/2/1,129.5,129.97,129.45,129.51,34500,0.14
000001.SH,上证指数,1991/2/4,129.05,129.58,129.05,129.05,55300,0.27
000001.SH,上证指数,1991/2/5,128.56,128.58,128.53,128.58,856200,4.25
000001.SH,上证指数,1991/2/6,129.13,129.15,128.06,129.14,664100,3.85
