浠ｇ爜,鍚嶇О,鏃ユ湡,寮€鐩樹环(鍏?,鏈€楂樹环(鍏?,鏈€浣庝环(鍏?,鏀剁洏浠?鍏?,鎴愪氦棰?鐧句竾),鎴愪氦閲?鑲?
399106.SZ,娣辫瘉缁兼寚,1991/4/3,100,100,100,100,0.23,16100
399106.SZ,娣辫瘉缁兼寚,1991/4/4,99.5,99.5,99.5,99.5,0.76,52300
399106.SZ,娣辫瘉缁兼寚,1991/4/5,99.01,99.01,99.01,99.01,0.15,10700
399106.SZ,娣辫瘉缁兼寚,1991/4/6,98.53,98.53,98.53,98.53,0.16,10200
399106.SZ,娣辫瘉缁兼寚,1991/4/8,98.08,98.08,98.08,98.08,0.08,5700
399106.SZ,娣辫瘉缁兼寚,1991/4/9,97.54,97.54,97.54,97.54,0.04,1900
399106.SZ,娣辫瘉缁兼寚,1991/4/10,97.04,97.04,97.04,97.04,0.11,4500
399106.SZ,娣辫瘉缁兼寚,1991/4/11,96.54,96.54,96.54,96.54,0.06,4500
399106.SZ,娣辫瘉缁兼寚,1991/4/12,96.06,96.06,96.06,96.06,0.11,6800
399106.SZ,娣辫瘉缁兼寚,1991/4/13,95.59,95.59,95.59,95.59,0.06,3000
399106.SZ,娣辫瘉缁兼寚,1991/4/15,95.13,95.13,95.13,95.13,0.07,5000
399106.SZ,娣辫瘉缁兼寚,1991/4/16,94.66,94.66,94.66,94.66,0.03,2200
399106.SZ,娣辫瘉缁兼寚,1991/4/17,94.2,94.2,94.2,94.2,0.03,2100
399106.SZ,娣辫瘉缁兼寚,1991/4/18,93.73,93.73,93.73,93.73,0.03,1400
399106.SZ,娣辫瘉缁兼寚,1991/4/19,93.27,93.27,93.27,93.27,0.03,1700
399106.SZ,娣辫瘉缁兼寚,1991/4/20,92.8,92.8,92.8,92.8,0.02,500
399106.SZ,娣辫瘉缁兼寚,1991/4/22,92.34,92.34,92.34,92.34,0,0
399106.SZ,娣辫瘉缁兼寚,1991/4/23,91.87,91.87,91.87,91.87,0.15,4800
399106.SZ,娣辫瘉缁兼寚,1991/4/24,91.42,91.42,91.42,91.42,0.11,4600
