shanghai,shenzhen
2023.74,1148.29
2026.67,1164.32
2024.37,1172.76
2033.93,1177.33
2025.5,1166.5
2038.68,1174.41
2036.51,1191.36
2048.33,1194.94
2050.38,1194.81
2059.42,1187.95
2063.23,1201.18
2059.38,1218.73
2059.93,1223.09
2064.02,1222.12
2038.61,1223.83
2038.34,1232.5
2046.96,1223.07
2066.65,1202.46
2070.36,1209.2
2067.28,1198.71
2055.59,1212.26
2059.07,1232.56
2054.48,1249.06
2075.48,1258.74
2078.49,1268.56
2105.06,1273.68
2126.61,1279.52
2177.95,1285.18
2183.19,1283.03
2181.24,1294.79
2201.56,1304.2
2185.3,1263.04
2223.33,1271.34
2219.95,1279.43
2217.47,1291.23
2187.67,1275.52
2194.43,1291.42
2224.65,1309.14
2221.6,1309.04
2222.88,1312.6
2206.47,1324.94
2226.73,1333.5
2239.47,1351.82
2245.33,1355.71
2240.21,1350.6
2230.46,1349.47
2240.81,1345.64
2229.27,1351.13
2207.11,1332.9
2209.47,1323.52
2195.82,1340.98
2217.2,1330.77
2235.51,1316.03
2266.05,1296.05
2288.63,1296.64
2306.86,1302.39
2326.43,1333.53
2326.53,1349.97
2318.31,1349.57
2311.68,1350.5
2331.95,1361.38
2339.14,1353.81
2296.56,1353.12
2307.89,1364.53
2315.93,1354.36
2329.45,1365.64
2289.87,1325.73
2309.72,1345.41
2343.58,1325.78
2345.1,1322.62
2347.72,1335.73
2357.71,1338.09
2363.87,1347.36
2382.79,1344.57
2389.37,1359.83
2374.54,1377.79
2366.01,1397.41
2359.48,1405.66
2373.67,1416.18
2356.5,1420.32
2341.18,1412.56
2356.73,1433.5
2339.66,1452.92
2326.55,1481.96
2302.42,1454.63
2302.28,1466.65
2290.44,1403.39
2337.87,1452.53
2373.03,1465.59
2391.08,1479.82
2420.18,1500.56
2430.03,1503.58
2430.68,1492.94
2419.25,1484.26
2425.86,1465.59
2418.17,1412.3
2473.67,1392.62
2469.67,1404.4
2494.48,1424.62
2485.61,1439.48
2478.82,1418.49
2474.01,1398.57
2456.37,1415.19
2450.99,1436.86
2452.66,1461.32
2486.79,1457.45
2532.88,1451.15
2567.6,1442.84
2604.35,1432.56
2630.49,1452.37
2682.84,1445.86
2680.16,1459.69
2763.55,1478.47
2779.53,1428.37
2899.46,1476.84
2937.65,1512.29
3020.26,1530.28
2856.27,1514.3
2940.01,1548.02
2925.74,1549.93
2938.17,1538.86
2953.42,1529.38
3021.52,1512.39
3061.02,1502.89
3057.52,1533.22
3108.6,1529.04
3127.45,1526.11
3032.61,1495.26
2972.53,1489.39
3072.54,1512.49
3157.6,1533.32
3168.02,1544.8
3165.82,1569.56
3234.68,1600.05
3350.52,1610.73
3351.45,1598.3
3373.95,1614.71
3293.46,1630.05
3285.41,1663.65
3229.32,1644.99
3235.3,1673.24
3222.44,1677.77
3336.46,1651.77
3376.5,1672.07
3116.35,1691.98
3173.05,1689.15
3323.61,1684.83
3343.34,1708.08
3351.76,1760.19
3383.18,1781.78
3352.96,1818.38
3305.74,1827.86
3262.31,1852.94
3210.36,1903.64
3128.3,1922.85
3204.91,1943.69
3174.13,1914.23
3136.53,1935.59
3075.91,1948.06
3095.12,1958.4
3141.59,2005.67
3157.7,2043.03
3173.42,2080.4
3203.83,2124.09
3222.36,2109.03
3246.91,2096.97
3228.84,2149.11
3298.36,2187.73
3310.3,2181.89
3336.29,2101.65
3263.05,2126.15
3279.53,2136.27
3248.48,2093.71
3241.19,2174.93
3302.41,2234.46
3286.07,2256.98
3290.9,2256.36
3349.32,2271.27
3372.91,2208.56
3449.31,2254.98
3502.85,2267.77
3577.3,2281.66
3582.27,2217.89
3617.32,2206.71
3687.73,2181.3
3691.41,2272.17
3660.73,2373.92
3682.1,2425.9
3691.1,2445.87
3786.57,2454.2
3747.9,2442.76
3810.29,2501.46
3825.78,2567.29
3863.93,2619.32
3961.38,2713.42
3994.81,2740.92
3957.53,2785.07
