开盘价(元),最高价(元),最低价(元),收盘价(元),成交额(百万),成交量(股)
2054.62,2059.26,2017.65,2023.74,9291427400.0,74628.95
2013.41,2027.15,2010.53,2026.67,6716724600.0,53224.27
2026.23,2033.32,2022.92,2024.37,7048516200.0,57772.73
2023.7,2034.71,2021.75,2033.93,7121463400.0,61684.91
2030.43,2030.62,2018.36,2025.5,6753961000.0,55989.14
2025.66,2040.75,2025.31,2038.68,8095577800.0,66534.27
2031.91,2043.98,2025.07,2036.51,9759201700.0,76710.59
2038.61,2052.34,2038.53,2048.33,9666659800.0,80011.17
2051.23,2052.64,2041.94,2050.38,9845740900.0,83499.76
2049.49,2060.6,2044.04,2059.42,10955391100.0,89304.98
2051.63,2066.64,2048.08,2063.23,12292658200.0,96182.47
2062.36,2065.08,2054.22,2059.38,10500879200.0,83596.44
2058.13,2064.04,2050.89,2059.93,9716875400.0,81471.31
2058.13,2064.43,2047.2,2064.02,9505339300.0,81584.45
2061.64,2062.47,2037.6,2038.61,11330584100.0,97183.49
2036.54,2045.53,2034.96,2038.34,9794381900.0,84748.63
2033.87,2051.74,2033.0,2046.96,10508808300.0,86253.72
2047.74,2067.34,2044.9,2066.65,11511974000.0,96357.01
2065.9,2070.36,2059.68,2070.36,12448876800.0,102893.91
2068.34,2075.49,2061.57,2067.28,13712802000.0,102029.81
2062.89,2062.89,2046.19,2055.59,10449181200.0,79106.28
2047.5,2067.23,2046.0,2059.07,10664109400.0,82510.26
2057.77,2061.82,2049.18,2054.48,9385787000.0,75706.18
2050.5,2078.09,2049.82,2075.48,12319186800.0,98702.44
2074.2,2088.19,2072.23,2078.49,13729221100.0,106702.13
2079.63,2107.95,2079.63,2105.06,16567699600.0,128677.98
2108.71,2127.22,2106.71,2126.61,14249582600.0,111411.57
2135.25,2181.5,2135.25,2177.95,23618575200.0,180414.43
2179.83,2193.52,2172.1,2183.19,20026425700.0,159282.5
2178.18,2194.57,2177.24,2181.24,18492218700.0,149566.55
2179.54,2202.13,2173.9,2201.56,16469165400.0,132438.45
2194.17,2218.79,2184.64,2185.3,19147504200.0,151884.03
2190.04,2224.07,2186.92,2223.33,17409740300.0,140088.82
2224.63,2226.84,2206.85,2219.95,17538698700.0,141474.53
2212.0,2223.89,2192.99,2217.47,17771170700.0,140362.86
2216.66,2220.57,2185.76,2187.67,17523327400.0,137306.47
2188.71,2199.58,2180.6,2194.43,13518144300.0,109728.99
2199.43,2225.96,2198.31,2224.65,15058342100.0,126096.84
2222.7,2222.98,2210.0,2221.6,15479904600.0,132393.97
2223.05,2230.99,2202.44,2222.88,17806280600.0,146490.79
2221.54,2230.89,2204.38,2206.47,17014912300.0,141706.66
2207.23,2230.87,2203.24,2226.73,14997869100.0,129406.91
2229.8,2242.04,2228.13,2239.47,16392862600.0,141492.84
2242.34,2246.02,2227.93,2245.33,17774459200.0,155445.48
2241.66,2248.94,2233.89,2240.21,16765838300.0,139628.05
2239.57,2240.08,2211.63,2230.46,16573349800.0,140879.63
2228.97,2243.3,2225.27,2240.81,16011167200.0,140353.02
2241.1,2241.55,2222.01,2229.27,16211957800.0,134450.23
2225.29,2232.79,2200.62,2207.11,16350742400.0,134123.07
2207.03,2216.67,2204.05,2209.47,12088588500.0,104090.41
2210.48,2219.47,2194.86,2195.82,12422901400.0,109266.62
2198.95,2218.7,2193.26,2217.2,10520249600.0,93043.87
2220.13,2236.29,2217.69,2235.51,12916658300.0,117215.9
2239.68,2267.51,2234.38,2266.05,19212486900.0,170931.78
2268.4,2290.55,2268.1,2288.63,21247899800.0,187558.38
2290.03,2307.7,2283.28,2306.86,19948997800.0,179385.89
2311.31,2327.56,2307.45,2326.43,21318191700.0,185839.82
2328.43,2331.92,2315.89,2326.53,19699031800.0,172908.5
2318.5,2321.91,2306.42,2318.31,18982899100.0,163454.52
2315.73,2343.6,2304.6,2311.68,22222179800.0,197232.66
2308.35,2331.95,2302.78,2331.95,19347154000.0,162102.9
2330.19,2340.45,2321.59,2339.14,21511241400.0,185393.63
2341.03,2347.94,2293.87,2296.56,30269411100.0,237659.24
2298.98,2309.05,2282.8,2307.89,21084245300.0,159121.79
2303.85,2319.88,2297.93,2315.93,18908904500.0,144518.52
2312.98,2331.56,2305.52,2329.45,17464848700.0,144345.45
2323.55,2323.55,2284.38,2289.87,17584235400.0,147841.75
2289.09,2311.53,2289.02,2309.72,15685516900.0,135396.86
2302.23,2345.75,2297.88,2343.58,22252572500.0,185690.67
2352.87,2365.15,2336.81,2345.1,22568832300.0,189260.38
2339.29,2350.11,2329.96,2347.72,17474828500.0,148220.81
2353.71,2363.06,2346.58,2357.71,20011102100.0,171130.88
2361.32,2365.49,2354.27,2363.87,19391869000.0,166933.43
2368.58,2382.79,2354.29,2382.79,20439732600.0,180337.58
2383.86,2391.35,2367.11,2389.37,23592001000.0,200271.76
2380.76,2386.28,2365.08,2374.54,22467112600.0,192248.23
2366.43,2366.86,2341.12,2366.01,20089931400.0,175425.07
2362.8,2380.52,2349.19,2359.48,19683141800.0,170160.09
2358.23,2374.81,2344.37,2373.67,20280491500.0,171766.75
2361.13,2389.68,2353.41,2356.5,24820116800.0,203805.88
2352.78,2360.6,2312.83,2341.18,21230096200.0,179433.16
2346.05,2357.51,2340.46,2356.73,16002230500.0,141820.26
2355.03,2361.65,2337.55,2339.66,16882828800.0,146786.31
2339.22,2352.12,2324.59,2326.55,15269842500.0,138524.54
2322.32,2329.93,2297.33,2302.42,16263630800.0,140596.5
2303.08,2314.88,2296.66,2302.28,13222528100.0,114330.7
2293.57,2293.64,2279.84,2290.44,13026156800.0,113379.98
2294.01,2338.28,2294.01,2337.87,17859035700.0,158147.96
2343.72,2381.64,2339.71,2373.03,26558868700.0,225067.08
2371.89,2397.26,2365.92,2391.08,29464594300.0,226611.18
2393.18,2423.6,2384.48,2420.18,32576352200.0,249915.44
2425.23,2436.79,2418.17,2430.03,29882123500.0,227196.59
2428.27,2435.22,2417.22,2430.68,30901303900.0,226503.88
2432.17,2434.36,2415.5,2419.25,26360665400.0,201859.41
2419.62,2426.89,2401.75,2425.86,22200508800.0,179644.37
2427.9,2454.42,2407.44,2418.17,29117224500.0,244157.57
2436.63,2474.16,2428.19,2473.67,30062820300.0,245233.68
2483.65,2508.62,2445.96,2469.67,41190406500.0,331257.39
2454.6,2494.92,2444.81,2494.48,25293385200.0,215738.62
2495.0,2507.74,2471.41,2485.61,29503705800.0,258311.92
2477.97,2481.03,2457.05,2478.82,22060761900.0,191924.99
2506.86,2508.77,2472.45,2474.01,21568780000.0,199264.9
2474.18,2477.05,2449.81,2456.37,20106257000.0,174659.49
2452.15,2461.49,2442.71,2450.99,18623577100.0,167069.37
2443.28,2458.32,2437.48,2452.66,16549521300.0,150799.91
2452.64,2488.2,2446.65,2486.79,21223977400.0,197809.79
2505.53,2546.75,2495.52,2532.88,36348583500.0,330291.41
2532.0,2568.38,2527.08,2567.6,31431557200.0,282168.8
2572.65,2605.07,2570.4,2604.35,33712724900.0,316521.26
2615.37,2631.4,2599.11,2630.49,36407571900.0,338960.83
2629.63,2683.18,2622.06,2682.84,46588003500.0,401951.17
2691.73,2720.74,2668.84,2680.16,44679174100.0,401120.19
2667.82,2777.37,2665.69,2763.55,43773338100.0,397238.91
2768.68,2824.18,2733.87,2779.53,56212028100.0,529777.45
