寮€鐩樹环(鍏?,鏈€楂樹环(鍏?,鏈€浣庝环(鍏?,鏀剁洏浠?鍏?,鎴愪氦棰?鐧句竾),鎴愪氦閲?鑲?
1156.43,1164.25,1146.75,1148.29,160957.71,15431216000.0
1149.62,1164.32,1149.44,1164.32,138345.3,13142228000.0
1165.14,1172.76,1158.76,1172.76,156799.89,14617273600.0
1169.45,1179.29,1164.73,1177.33,151536.21,14760179200.0
1177.35,1183.09,1166.19,1166.5,149775.5,14404766400.0
1167.76,1176.74,1167.52,1174.41,129892.71,11857887200.0
1176.28,1191.36,1176.28,1191.36,149161.44,13297068000.0
1191.44,1194.94,1188.58,1194.94,155680.18,13755470400.0
1194.79,1198.1,1181.24,1194.81,162789.94,14823286400.0
1193.77,1200.74,1187.24,1187.95,162556.72,14941630400.0
1188.28,1202.23,1186.76,1201.18,155100.13,14284481600.0
1204.1,1218.74,1204.1,1218.73,180149.52,16202433600.0
1221.51,1225.46,1214.34,1223.09,201472.1,17827316800.0
1222.93,1228.2,1218.65,1222.12,178818.67,16051083200.0
1222.91,1223.83,1208.94,1223.83,171272.19,15123521600.0
1223.5,1233.94,1222.43,1232.5,170428.59,14261601600.0
1233.25,1233.25,1219.8,1223.07,163448.26,13769387200.0
1220.69,1223.62,1198.16,1202.46,160445.34,14014030400.0
1202.0,1211.99,1202.0,1209.2,128411.1,11077434400.0
1209.32,1211.79,1195.63,1198.71,127475.95,11216904000.0
1198.38,1212.26,1197.56,1212.26,107569.18,9122010400.0
1213.59,1232.56,1213.59,1232.56,142316.27,11771875200.0
1235.6,1249.06,1234.52,1249.06,191994.06,15889686400.0
1251.49,1260.36,1249.36,1258.74,210919.41,17573304000.0
1259.87,1268.56,1256.16,1268.56,212869.02,17628228800.0
1270.74,1273.71,1263.65,1273.68,204840.43,17544731200.0
1275.12,1279.52,1266.08,1279.52,197222.24,17056291200.0
1276.15,1286.27,1270.1,1285.18,196591.74,16994907200.0
1285.45,1299.97,1275.93,1283.03,234172.37,19785252800.0
1282.19,1294.79,1279.0,1294.79,184589.17,16046977600.0
1294.66,1305.08,1290.96,1304.2,219483.39,18638252800.0
1305.44,1306.16,1262.8,1263.04,257379.81,23587505600.0
1264.15,1271.34,1252.11,1271.34,176698.86,16244835200.0
1269.51,1279.43,1266.29,1279.43,156743.18,14702177600.0
1280.24,1292.02,1277.83,1291.23,159096.85,13759328000.0
1289.8,1289.8,1272.5,1275.52,169424.18,14648270400.0
1275.44,1291.42,1275.44,1291.42,161970.18,13673545600.0
1289.7,1309.14,1286.91,1309.14,199238.32,17221859200.0
1313.25,1321.2,1305.29,1309.04,215777.66,18222336000.0
1307.01,1312.99,1302.86,1312.6,174101.39,14890604800.0
1316.27,1325.23,1316.26,1324.94,200319.17,16499076800.0
1327.4,1334.49,1325.05,1333.5,180873.2,14956548800.0
1338.07,1351.82,1331.27,1351.82,207104.19,16624708800.0
1353.94,1357.86,1338.2,1355.71,246571.15,20487747200.0
1351.64,1357.39,1343.01,1350.6,224722.64,19613504000.0
1345.82,1349.47,1330.18,1349.47,202440.72,17577824000.0
1347.48,1357.85,1338.41,1345.64,198282.43,17280542400.0
1344.71,1351.13,1333.3,1351.13,193168.9,16656569600.0
1344.44,1356.21,1332.9,1332.9,207706.19,17505436800.0
1330.59,1336.51,1299.83,1323.52,198071.6,16944619200.0
1325.84,1340.98,1325.25,1340.98,159895.23,12932440800.0
1340.77,1344.82,1329.41,1330.77,160850.93,13264412800.0
1330.49,1335.72,1315.47,1316.03,151097.41,12252187200.0
1312.71,1317.11,1290.78,1296.05,152344.5,13324992800.0
1296.53,1304.77,1292.45,1296.64,121264.63,9972230400.0
1292.31,1302.39,1284.88,1302.39,125463.72,10178597600.0
1304.99,1333.53,1304.99,1333.53,171281.38,13937838400.0
1336.95,1352.84,1334.47,1349.97,226696.1,18840350400.0
1350.09,1356.13,1344.43,1349.57,206557.92,17405644800.0
1350.98,1355.67,1338.79,1350.5,203380.98,17517880000.0
1352.08,1361.41,1351.44,1361.38,195235.25,17376011200.0
1361.36,1362.82,1349.02,1353.81,199311.47,17349108800.0
1353.6,1357.02,1346.35,1353.12,178159.31,15929009600.0
1352.88,1364.55,1347.36,1364.53,175362.35,14481816000.0
