,mse_R,mae_R,hmse_R,hmae_R,mse_MAX,mae_MAX,hmse_MAX,hmae_MAX
bilstm,0.0,0.0,0.0,0.0,0.003,0.0,0.013,0.001
cbams_bilstm_1,0.0,0.0,0.0,0.0,0.003,0.001,0.013,0.001
cbams_bilstm_2,0.0,0.0,0.0,0.0,0.003,0.001,0.013,0.001
cbams_bilstm_3,0.0,0.0,0.001,0.0,0.018,0.002,0.015,0.002
cbams_bilstm_4,0.0,0.0,0.001,0.0,0.018,0.004,0.015,0.002
cbams_bilstm_5,0.001,0.0,0.003,0.0,0.018,0.004,0.019,0.002
cbams_bilstm_6,0.001,0.0,0.003,0.001,0.022,0.005,0.022,0.004
cbams_bilstm_7,0.001,0.001,0.01,0.002,0.057,0.023,0.022,0.01
cbams_bilstm_8,0.001,0.004,0.01,0.003,0.057,0.023,0.045,0.034
cbams_bilstm_9,0.019,0.006,0.015,0.005,0.057,0.023,0.045,0.034
cbams_bilstm_10,0.079,0.013,0.03,0.007,0.057,0.023,0.045,0.034
cbams_bilstm_11,0.917,0.706,0.654,0.878,0.942,0.79,0.594,0.767
cbams_bilstm_12,0.917,0.706,0.654,0.878,0.942,0.79,0.594,0.767
cbams_bilstm_13,0.917,0.706,0.654,0.878,0.942,0.79,0.594,0.767
cbams_bilstm_14,0.917,0.706,0.683,0.878,0.942,0.79,0.683,0.767
cbams_bilstm_15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
