model,mae,rmse,r2,mape
bilstm,0.012210127180049579,0.01668565880967441,0.9182494494051751,0.030705082338855223
bilstm_cbam,0.012666823593355343,0.016721761983180285,0.9178952952883432,0.031060326062144067
cbams_bilstm_1,0.012063471217727266,0.01648399581269657,0.9202135835033304,0.030263231318616034
cbams_bilstm_2,0.009487491137971604,0.013613407284099587,0.9455826179715743,0.02405080450959186
cbams_bilstm_3,0.009326692782448309,0.013015442989390816,0.9502581564648966,0.02347525438524796
cbams_bilstm_4,0.009416108863938871,0.013385037618968035,0.9473930454534063,0.023707199621101623
cbams_bilstm_5,0.008671413731654995,0.01199969445795848,0.9577190881809398,0.02191099026039158
cbams_bilstm_6,0.008704111860652454,0.012354456635613653,0.9551821243427768,0.022007370801146734
cbams_bilstm_7,0.010752198226127926,0.014505878909621465,0.9382137177155013,0.026661676822266674
cbams_bilstm_8,0.01066752909557628,0.014669585145266464,0.9368112690827586,0.026755313111671203
cbams_bilstm_9,0.011287060029391944,0.014920233089566179,0.9346335070946021,0.027902721720152245
cbams_bilstm_10,0.010671592029121234,0.01434728264671377,0.9395573806147299,0.026612920050790984
cbams_bilstm_11,0.008958870923287557,0.012218362871148285,0.9561640920061767,0.02243527318186703
cbams_bilstm_12,0.008484852791608162,0.011558514592019821,0.9607709293291447,0.021322672538462983
cbams_bilstm_13,0.008626094011677753,0.01201767945467422,0.9575922529655003,0.02176989471738827
cbams_bilstm_14,0.008814192111531217,0.01187950845470079,0.9585617972888213,0.022096232957132547
cbams_bilstm_15,0.00835885760956591,0.01149230976918131,0.9612190346058255,0.021059971194325164
