model,mae,rmse,r2,mape
bilstm,0.013805808639763995,0.01785791272241501,0.9560884666961371,0.029299462423623978
bilstm_cbam,0.01621271605068085,0.019714112852300496,0.9464854735721357,0.03351019365083086
cbams_bilstm_1,0.014151514936662883,0.01762806535093854,0.9572115540351214,0.029598289099902614
cbams_bilstm_2,0.013062309094564175,0.016619767061901682,0.9619664315036182,0.02746107780125012
cbams_bilstm_3,0.014997832053376299,0.018264330117181843,0.9540670111024439,0.0311502183040448
cbams_bilstm_4,0.017011308688096298,0.021355145302121945,0.9372054038972433,0.0343419890952118
cbams_bilstm_5,0.01170641603589745,0.015596743733323105,0.9665046066141045,0.0245619116464803
cbams_bilstm_6,0.013457127669271728,0.016689617465366794,0.9616460608428297,0.02768044449045364
cbams_bilstm_7,0.013896464761482808,0.017018426919987055,0.9601199184234849,0.028651226782001254
cbams_bilstm_8,0.013386794966010265,0.01671399005440029,0.9615339591301695,0.027640380029155222
cbams_bilstm_9,0.013322333118889293,0.016674043007532252,0.9617176098876162,0.02765345687839014
cbams_bilstm_10,0.013232434099020784,0.016429605218350574,0.9628318054266479,0.027418812490847023
cbams_bilstm_11,0.013139261283633043,0.016518016785424226,0.9624307075405516,0.027221438213975338
cbams_bilstm_12,0.01227695756044849,0.015732224811827775,0.9659201638961367,0.02559244288258624
cbams_bilstm_13,0.012491873297542604,0.015751277361848025,0.9658375689723131,0.026073154759566328
cbams_bilstm_14,0.012126880196501957,0.015733254642642146,0.9659157020206556,0.025214620692542714
cbams_bilstm_15,0.012506150263912406,0.015957980268101378,0.9649350634513996,0.025959914310196987
